,index,high_nei,high_sim,low_nei,low_sim
0,0,"23, 68, 20","0.2639327034563052, 0.2581067922209437, 0.24570809342361402","67, 95, 94","30.131516, 32.55771, 41.082836"
1,1,"14, 20, 23","0.4317349916014361, 0.41026389199078395, 0.3840845809742571","25, 58, 45","18.00153, 23.63415, 27.587389"
2,2,"95, 36, 21","0.2658568805605757, 0.24904865620956748, 0.2344950224594875","67, 99, 16","18.526665, 29.54232, 37.69333"
3,3,"12, 88, 47","0.2692922037816554, 0.22266606956246368, 0.20010300356786107","17, 98, 31","45.0059, 61.168167, 63.29847"
4,4,"73, 89, 75","0.27836382426044326, 0.2551796823358552, 0.242310818906134","82, 28, 81","28.419645, 67.004745, 102.029976"
5,5,"47, 64, 23","0.3124081966601709, 0.2962417692845189, 0.2957153078580463","9, 43, 23","12.5045185, 24.813316, 25.27819"
6,6,"40, 78, 45","0.27232123848241746, 0.20706733210830322, 0.1954357197701534","61, 71, 62","34.08371, 50.21939, 94.275246"
7,7,"45, 14, 24","0.3429749091944478, 0.334565946956853, 0.3162199978774581","24, 11, 30","21.19942, 27.025785, 34.79384"
8,8,"26, 18, 50","0.22107120353180965, 0.2001732605089854, 0.1987468366491211","50, 33, 52","14.339549, 17.48742, 19.283688"
9,9,"14, 23, 83","0.35582012706731647, 0.3306341570339045, 0.28731985317316694","5, 23, 20","12.5045185, 16.876566, 28.434612"
10,10,"75, 82, 83","0.2715678785693974, 0.26443192561234724, 0.26009169813654714","17, 73, 86","22.087055, 22.797604, 27.746798"
11,11,"96, 25, 24","0.25747443540227904, 0.22537156425319185, 0.2233184612226284","7, 22, 24","27.025785, 32.95579, 36.272194"
12,12,"72, 47, 23","0.3962760704971882, 0.37974170303789384, 0.37885912935689414","50, 18, 13","9.196861, 13.664264, 15.754878"
13,13,"24, 38, 54","0.22873218929227454, 0.21120405500629671, 0.19598886882316083","12, 18, 63","15.754878, 19.493341, 24.069897"
14,14,"23, 36, 82","0.5801425411754897, 0.5142922437330444, 0.4884835785577606","20, 96, 36","10.036767, 17.929554, 19.284101"
15,15,"44, 75, 77","0.2997823324116378, 0.2429765677114369, 0.21906053263084","92, 53, 29","33.970688, 39.143616, 88.00318"
16,16,"88, 99, 12","0.2636609869958886, 0.2530111686428786, 0.2509887642576009","95, 2, 0","34.03762, 37.69333, 49.493744"
17,17,"77, 50, 73","0.3183311900866838, 0.30329314673270863, 0.29621912726226324","69, 10, 98","21.080015, 22.087055, 26.926416"
18,18,"76, 47, 72","0.2904338732218846, 0.2842945604318203, 0.28133098752990987","50, 12, 66","12.759838, 13.664264, 18.765717"
19,19,"50, 73, 42","0.3148552107261127, 0.2654129368238017, 0.2573339099817278","33, 83, 73","17.366667, 17.586224, 17.90167"
20,20,"23, 47, 14","0.5931149103236742, 0.4210048621936846, 0.4147357235238813","14, 36, 23","10.036767, 19.230568, 22.461807"
21,21,"72, 88, 50","0.301982405277243, 0.2551254082697667, 0.24259499892856198","91, 62, 47","22.522017, 33.588703, 37.914444"
22,22,"80, 46, 64","0.23998342091487812, 0.23824228208419726, 0.23616817803641021","79, 11, 24","29.9228, 32.95579, 40.64943"
23,23,"20, 14, 47","0.5931149103236742, 0.5801425411754897, 0.4923222279087824","9, 47, 20","16.876566, 19.92915, 22.461807"
24,24,"25, 45, 30","0.3795710076537462, 0.3570509712076726, 0.3538454849420342","80, 79, 7","13.621681, 17.572947, 21.19942"
25,25,"45, 96, 14","0.44303718385308827, 0.44062794131513044, 0.4371660426599182","45, 79, 58","8.667429, 15.131315, 17.455923"
26,26,"86, 44, 7","0.26041477312174593, 0.24837746424134646, 0.24784063835737344","53, 38, 92","20.893408, 24.862352, 25.691477"
27,27,"36, 42, 41","0.295363990439659, 0.28713200313816184, 0.28132082700362854","40, 28, 49","8.725045, 19.111149, 23.15839"
28,28,"72, 82, 18","0.25974635003428465, 0.2540881425445929, 0.2227850667549064","27, 82, 48","19.111149, 34.018177, 38.21546"
29,29,"45, 72, 61","0.257579470024357, 0.25308924876779054, 0.22741048434768077","90, 28, 92","34.4371, 39.24273, 43.116695"
30,30,"24, 68, 72","0.3538454849420342, 0.3028744576721793, 0.29385867923461007","7, 36, 96","34.79384, 48.48623, 56.941124"
31,31,"50, 82, 95","0.2556949034658504, 0.25248902129137224, 0.22176190479976274","60, 10, 3","45.334232, 58.383865, 63.29847"
