,index,high_nei,high_sim,low_nei,low_sim
0,0,"51, 82, 52","0.6353177310331323, 0.6298825126326691, 0.6130283341592963","51, 52, 48","0.010235114, 0.032153226, 0.09176983"
1,1,"4, 65, 36","0.7523094835362188, 0.6689921219710895, 0.6639368762483705","36, 4, 46","0.05230006, 0.066554695, 0.11604415"
2,2,"33, 78, 39","0.7699600439613823, 0.7489715627325281, 0.7316697511856525","39, 90, 43","0.023999877, 0.09264376, 0.17764533"
3,3,"73, 98, 37","0.6876703555279116, 0.64107155038519, 0.6336025005229226","73, 12, 98","0.020628428, 0.11108321, 0.17639866"
4,4,"1, 71, 36","0.7523094835362188, 0.7266570420118084, 0.6625421745575143","1, 72, 19","0.066554695, 0.15248816, 0.16974592"
5,5,"46, 76, 7","0.7700307459037022, 0.6855861799526463, 0.6835062465420536","36, 46, 66","0.07630186, 0.09381609, 0.13175502"
6,6,"40, 15, 61","0.7841750367510816, 0.6666380961145827, 0.6609650824874163","40, 61, 71","0.07666216, 0.14358556, 0.352053"
7,7,"25, 61, 71","0.7165227984412422, 0.6980654956948299, 0.6929433604588573","25, 65, 30","0.025233759, 0.17307532, 0.23502958"
8,8,"70, 49, 75","0.6633355671834031, 0.6116456373587847, 0.6041427120740874","49, 70, 75","0.049092513, 0.18430272, 0.20892644"
9,9,"55, 68, 99","0.8702913056649617, 0.8671069201076802, 0.8658474183039567","68, 55, 99","0.01763509, 0.04478795, 0.05546931"
10,10,"2, 90, 86","0.7162373519924332, 0.7116936625884916, 0.7113927027572642","90, 39, 43","0.035298705, 0.13758385, 0.1539288"
11,11,"55, 16, 68","0.9393325716131693, 0.8982517840817034, 0.8725653252080212","16, 57, 77","0.012625, 0.14527754, 0.2636763"
12,12,"37, 73, 30","0.6966628734627313, 0.6322930949328877, 0.6317561875669965","73, 3, 98","0.06614147, 0.11108321, 0.12764551"
13,13,"43, 90, 10","0.6762675746079644, 0.6365988531515393, 0.6285369897073946","32, 85, 67","0.019097267, 0.025128461, 0.04679074"
14,14,"33, 20, 5","0.7205615036945773, 0.6790648967912556, 0.658722596246305","23, 62, 74","0.112373225, 0.24167022, 0.31395248"
15,15,"97, 68, 99","0.892358750184669, 0.8852451685577282, 0.885117098494095","24, 97, 87","0.021578085, 0.14576146, 0.16588959"
16,16,"11, 55, 68","0.8982517840817034, 0.896123011406608, 0.8369011444116776","11, 57, 77","0.012625, 0.15168498, 0.16438565"
17,17,"30, 25, 56","0.6786447142012121, 0.6657157526883928, 0.6649541855392095","88, 30, 61","0.07172873, 0.1277254, 0.20997082"
18,18,"96, 44, 94","0.8211830296204098, 0.8193062013134684, 0.7509205018766032","89, 96, 93","0.05511005, 0.16877562, 0.2020404"
19,19,"72, 4, 92","0.6956884384925334, 0.5445492160595469, 0.5405759532442378","72, 71, 40","0.014865698, 0.05998649, 0.14192355"
20,20,"33, 96, 91","0.7496894393816644, 0.7220951752202962, 0.7188111039297446","37, 33, 58","0.041020855, 0.07486276, 0.15639566"
21,21,"55, 9, 97","0.6719648923572775, 0.6669043915889067, 0.6658371048480897","84, 92, 79","0.11655873, 0.1280132, 0.14677395"
22,22,"38, 49, 25","0.62885546901589, 0.582670190019919, 0.5305148017856645","38, 49, 8","0.0415596, 0.11064011, 0.28747916"
23,23,"93, 89, 14","0.6958797623474531, 0.6926612557417097, 0.6347886410242263","14, 93, 62","0.112373225, 0.1493641, 0.17935401"
24,24,"29, 95, 15","0.6563924265677556, 0.647761688658757, 0.6227324007404169","15, 65, 97","0.021578085, 0.25938973, 0.27927682"
25,25,"61, 7, 57","0.7345241700398171, 0.7165227984412422, 0.6893889881543517","7, 61, 65","0.025233759, 0.1686659, 0.21012987"
26,26,"83, 79, 50","0.6026643056585996, 0.5716213348175859, 0.568215615655922","80, 83, 70","0.22077593, 0.26199132, 0.393274"
27,27,"53, 68, 9","0.7023621929589415, 0.6568122188538891, 0.6557766565298015","50, 42, 34","0.0856891, 0.29165408, 0.2959302"
28,28,"24, 29, 65","0.5920533167067946, 0.5844609666771924, 0.5210081119659782","81, 95, 29","0.050432, 0.15560059, 0.16647643"
29,29,"24, 95, 28","0.6563924265677556, 0.6533192704338866, 0.5844609666771924","95, 60, 5","0.056372356, 0.15340018, 0.15672469"
30,30,"17, 61, 12","0.6786447142012121, 0.6545167066753649, 0.6317561875669965","17, 88, 92","0.1277254, 0.12914081, 0.22824916"
31,31,"84, 69, 79","0.6417369514949792, 0.6216015739710031, 0.6156144392250634","69, 79, 84","0.006491494, 0.100051455, 0.10497817"
32,32,"94, 85, 53","0.6819431325492052, 0.6424957423514837, 0.6365023150836097","13, 67, 35","0.019097267, 0.058418036, 0.06514706"
33,33,"91, 2, 20","0.7783016527997716, 0.7699600439613823, 0.7496894393816644","78, 20, 91","0.07416008, 0.07486276, 0.09913497"
34,34,"68, 9, 16","0.7377112697004768, 0.7354948553328348, 0.7248763024365876","55, 99, 9","0.010677686, 0.07685781, 0.08040947"
35,35,"67, 32, 64","0.6336451814862715, 0.6182623857822342, 0.578403890538018","32, 67, 13","0.06514706, 0.11716482, 0.14511703"
36,36,"46, 1, 5","0.6980462580326071, 0.6639368762483705, 0.6631757383676334","1, 46, 5","0.05230006, 0.06609533, 0.07630186"
